"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"rosenbrok"	"neumann_topology"	"inertia_weight"	"(2, 1)"	"3.6558777114e-05"	"3.6558777114e-05"	"[ 0.9940793   0.98807102]"	"392"	"10000"
"rosenbrok"	"ring_topology"	"inertia_weight"	"(2, 1)"	"7.71462704152e-05"	"7.71462704152e-05"	"[ 1.00218089  1.00521736]"	"474"	"10000"
"rosenbrok"	"full_topology"	"pso_vanilla"	"(2, 1)"	"0.000162847429078"	"0.000162847429078"	"[ 0.98822166  0.97707315]"	"397"	"10000"
"rosenbrok"	"ring_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.000553665394122"	"0.000553665394122"	"[ 1.00624795  1.01480348]"	"115"	"10000"
"rosenbrok"	"ring_topology"	"inertia_weight"	"(1, 2)"	"0.000590653765274"	"0.000590653765274"	"[ 0.99314057  0.98399666]"	"347"	"10000"
"rosenbrok"	"neumann_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.00226567742024"	"0.00226567742024"	"[ 1.04748415  1.09755369]"	"194"	"10000"
"rosenbrok"	"neumann_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00385312893852"	"0.00385312893852"	"[ 1.03282944  1.06146848]"	"417"	"10000"
"rosenbrok"	"full_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00862333769171"	"0.00862333769171"	"[ 1.09253854  1.19286615]"	"302"	"10000"
"rosenbrok"	"ring_topology"	"constriction_factor"	"(2, 1)"	"0.0120554235324"	"0.0120554235324"	"[ 1.10974894  1.23186819]"	"499"	"10000"
"rosenbrok"	"full_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.0136963614534"	"0.0136963614534"	"[ 0.88296916  0.7795966 ]"	"499"	"10000"
"rosenbrok"	"ring_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.0144087465602"	"0.0144087465602"	"[ 0.97230707  0.95706088]"	"463"	"10000"
"rosenbrok"	"full_topology"	"constriction_factor"	"(2, 1)"	"0.0155171450239"	"0.0155171450239"	"[ 0.87556888  0.76603741]"	"461"	"10000"
"rosenbrok"	"full_topology"	"pso_vanilla"	"(1, 2)"	"0.0161380535396"	"0.0161380535396"	"[ 0.89580289  0.80972989]"	"426"	"10000"
"rosenbrok"	"neumann_topology"	"constriction_factor"	"(2, 1)"	"0.0206386248236"	"0.0206386248236"	"[ 0.85635322  0.73354641]"	"491"	"10000"
"rosenbrok"	"neumann_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.0247501069968"	"0.0247501069968"	"[ 1.11911972  1.26270542]"	"83"	"10000"
"rosenbrok"	"neumann_topology"	"pso_vanilla"	"(2, 1)"	"0.0320813995569"	"0.0320813995569"	"[ 1.1047115   1.23491914]"	"397"	"10000"
"rosenbrok"	"neumann_topology"	"pso_vanilla"	"(1, 2)"	"0.0344062568684"	"0.0344062568684"	"[ 1.183398    1.39765336]"	"208"	"10000"
"rosenbrok"	"full_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.036553624767"	"0.036553624767"	"[ 1.15795603  1.35163413]"	"474"	"10000"
"rosenbrok"	"full_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.04374701277"	"0.04374701277"	"[ 0.79104234  0.6266629 ]"	"360"	"10000"
"rosenbrok"	"ring_topology"	"pso_vanilla"	"(2, 1)"	"0.0485324997225"	"0.0485324997225"	"[ 0.89753568  0.7860681 ]"	"434"	"10000"
"rosenbrok"	"neumann_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.050358813429"	"0.050358813429"	"[ 1.07587353  1.13638466]"	"32"	"10000"
"rosenbrok"	"ring_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.0913728441329"	"0.0913728441329"	"[ 0.70008257  0.49388704]"	"448"	"10000"
"rosenbrok"	"ring_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.0929241258265"	"0.0929241258265"	"[ 0.69517362  0.48349006]"	"469"	"10000"
"rosenbrok"	"ring_topology"	"pso_vanilla"	"(1, 2)"	"0.113684405425"	"0.113684405425"	"[ 0.66581635  0.44778992]"	"265"	"10000"
"rosenbrok"	"full_topology"	"constriction_factor"	"(1, 2)"	"0.166866218056"	"0.166866218056"	"[ 0.59259967  0.35415964]"	"432"	"10000"
"rosenbrok"	"full_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.201798598493"	"0.201798598493"	"[ 0.90054937  0.76718184]"	"291"	"10000"
"rosenbrok"	"ring_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.219780343246"	"0.219780343246"	"[ 1.46245906  2.14647544]"	"293"	"10000"
"rosenbrok"	"neumann_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.593198601783"	"0.593198601783"	"[ 1.70704704  2.94455188]"	"19"	"10000"
"rosenbrok"	"neumann_topology"	"constriction_factor"	"(1, 2)"	"0.789365881931"	"0.789365881931"	"[ 0.11156338  0.01176623]"	"163"	"10000"
"rosenbrok"	"ring_topology"	"constriction_factor"	"(1, 2)"	"0.963635745258"	"0.963635745258"	"[ 0.01835058  0.00037726]"	"121"	"10000"
"rosenbrok"	"full_topology"	"constriction_factor"	"(0.01, 0.01)"	"1.25980880694"	"1.25980880694"	"[ 1.60492988  2.48125529]"	"16"	"10000"
